[2020-08-18 02:56:23,905][INFO]:GRPCServer initiated
[2020-08-18 02:57:30,553][INFO]:轮次1，轮次时间2020-08-18 02:56:59.874448，100K路由发送延时0:00:26.261204，100K路由传输耗时0:00:04.386801
[2020-08-18 02:58:30,228][INFO]:轮次2，轮次时间2020-08-18 02:57:59.872997，100K路由发送延时0:00:25.891003，100K路由传输耗时0:00:04.440854
[2020-08-18 02:59:30,028][INFO]:轮次3，轮次时间2020-08-18 02:58:59.873459，100K路由发送延时0:00:25.772593，100K路由传输耗时0:00:04.364955
[2020-08-18 03:00:30,505][INFO]:轮次4，轮次时间2020-08-18 02:59:59.868017，100K路由发送延时0:00:26.219207，100K路由传输耗时0:00:04.397416
[2020-08-18 03:01:30,465][INFO]:轮次5，轮次时间2020-08-18 03:00:59.869737，100K路由发送延时0:00:26.194736，100K路由传输耗时0:00:04.382970
[2020-08-18 03:02:30,525][INFO]:轮次6，轮次时间2020-08-18 03:01:59.873306，100K路由发送延时0:00:26.227789，100K路由传输耗时0:00:04.393114
[2020-08-18 03:03:30,324][INFO]:轮次7，轮次时间2020-08-18 03:02:59.872976，100K路由发送延时0:00:26.030056，100K路由传输耗时0:00:04.405920
[2020-08-18 03:04:30,010][INFO]:轮次8，轮次时间2020-08-18 03:03:59.873007，100K路由发送延时0:00:25.665336，100K路由传输耗时0:00:04.441011
[2020-08-18 03:05:30,083][INFO]:轮次9，轮次时间2020-08-18 03:04:59.870523，100K路由发送延时0:00:25.778928，100K路由传输耗时0:00:04.402482
[2020-08-18 03:06:29,875][INFO]:轮次10，轮次时间2020-08-18 03:05:59.772563，100K路由发送延时0:00:25.669677，100K路由传输耗时0:00:04.409814
[2020-08-18 03:07:30,339][INFO]:轮次11，轮次时间2020-08-18 03:06:59.761608，100K路由发送延时0:00:26.190632，100K路由传输耗时0:00:04.355552
[2020-08-18 03:08:29,763][INFO]:轮次12，轮次时间2020-08-18 03:07:59.772392，100K路由发送延时0:00:25.552393，100K路由传输耗时0:00:04.407511
[2020-08-18 03:09:30,042][INFO]:轮次13，轮次时间2020-08-18 03:08:59.773656，100K路由发送延时0:00:25.847081，100K路由传输耗时0:00:04.390319
[2020-08-18 03:10:30,038][INFO]:轮次14，轮次时间2020-08-18 03:09:59.771398，100K路由发送延时0:00:25.785921，100K路由传输耗时0:00:04.465709
[2020-08-18 03:11:30,305][INFO]:轮次15，轮次时间2020-08-18 03:10:59.762433，100K路由发送延时0:00:26.143750，100K路由传输耗时0:00:04.375309
[2020-08-18 03:12:29,899][INFO]:轮次16，轮次时间2020-08-18 03:11:59.765105，100K路由发送延时0:00:25.721848，100K路由传输耗时0:00:04.397207
[2020-08-18 03:13:30,191][INFO]:轮次17，轮次时间2020-08-18 03:12:59.763057，100K路由发送延时0:00:25.985798，100K路由传输耗时0:00:04.425477
[2020-08-18 03:14:29,769][INFO]:轮次18，轮次时间2020-08-18 03:13:59.770973，100K路由发送延时0:00:25.652559，100K路由传输耗时0:00:04.315145
[2020-08-18 03:15:30,092][INFO]:轮次19，轮次时间2020-08-18 03:14:59.771606，100K路由发送延时0:00:25.945275，100K路由传输耗时0:00:04.344383
[2020-08-18 03:16:29,795][INFO]:轮次20，轮次时间2020-08-18 03:15:59.770480，100K路由发送延时0:00:25.661932，100K路由传输耗时0:00:04.331852
[2020-08-18 03:17:30,235][INFO]:轮次21，轮次时间2020-08-18 03:16:59.764062，100K路由发送延时0:00:26.134588，100K路由传输耗时0:00:04.317188
[2020-08-18 03:18:29,909][INFO]:轮次22，轮次时间2020-08-18 03:17:59.764811，100K路由发送延时0:00:25.797799，100K路由传输耗时0:00:04.323939
[2020-08-18 03:19:30,334][INFO]:轮次23，轮次时间2020-08-18 03:18:59.763696，100K路由发送延时0:00:26.142977，100K路由传输耗时0:00:04.407840
